,2015-01-01,2015-02-01,2015-03-01,2015-04-01,2015-05-01,2015-06-01,2015-07-01,2015-08-01,2015-09-01,2015-10-01,2015-11-01,2015-12-01,2016-01-01,2016-02-01,2016-03-01,2016-04-01,2016-05-01,2016-06-01,2016-07-01,2016-08-01,2016-09-01,2016-10-01,2016-11-01,2016-12-01,2017-01-01,2017-02-01,2017-03-01,2017-04-01,2017-05-01,2017-06-01,2017-07-01,2017-08-01,2017-09-01,2017-10-01,2017-11-01,2017-12-01,2018-01-01,2018-02-01,2018-03-01,2018-04-01,2018-05-01,2018-06-01,2018-07-01,2018-08-01,2018-09-01,2018-10-01,2018-11-01,2018-12-01,2019-01-01,2019-02-01,2019-03-01,2019-04-01,2019-05-01,2019-06-01,2019-07-01,2019-08-01,2019-09-01,2019-10-01,2019-11-01,2019-12-01,2020-01-01,2020-02-01,2020-03-01,2020-04-01,2020-05-01,2020-06-01,2020-07-01,2020-08-01
000001,银行II,银行II,银行II,银行II,银行II,银行II,银行II,银行II,银行II,银行II,银行II,银行II,银行II,银行II,银行II,银行II,银行II,银行II,银行II,银行II,银行II,银行II,银行II,银行II,银行II,银行II,银行II,银行II,银行II,银行II,银行II,银行II,银行II,银行II,银行II,银行II,银行II,银行II,银行II,银行II,银行II,银行II,银行II,银行II,银行II,银行II,银行II,银行II,银行II,银行II,银行II,银行II,银行II,银行II,银行II,银行II,银行II,银行II,银行II,银行II,银行II,银行II,银行II,银行II,银行II,银行II,银行II,银行II
000002,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II
000004,生物制品II,生物制品II,生物制品II,生物制品II,生物制品II,生物制品II,生物制品II,生物制品II,生物制品II,生物制品II,生物制品II,生物制品II,生物制品II,生物制品II,生物制品II,生物制品II,生物制品II,生物制品II,生物制品II,生物制品II,生物制品II,生物制品II,生物制品II,生物制品II,生物制品II,生物制品II,生物制品II,生物制品II,生物制品II,生物制品II,生物制品II,生物制品II,生物制品II,生物制品II,生物制品II,生物制品II,生物制品II,生物制品II,生物制品II,生物制品II,生物制品II,生物制品II,生物制品II,生物制品II,生物制品II,生物制品II,生物制品II,生物制品II,生物制品II,生物制品II,生物制品II,生物制品II,生物制品II,生物制品II,生物制品II,化学制药II,化学制药II,化学制药II,化学制药II,化学制药II,化学制药II,化学制药II,化学制药II,化学制药II,化学制药II,化学制药II,化学制药II,化学制药II
000005,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,环保工程及服务II,环保工程及服务II,环保工程及服务II,环保工程及服务II,环保工程及服务II,环保工程及服务II,环保工程及服务II,环保工程及服务II,环保工程及服务II,环保工程及服务II,环保工程及服务II,环保工程及服务II,环保工程及服务II,环保工程及服务II,环保工程及服务II,环保工程及服务II,环保工程及服务II,环保工程及服务II,环保工程及服务II,环保工程及服务II,环保工程及服务II,环保工程及服务II,环保工程及服务II,环保工程及服务II,环保工程及服务II,环保工程及服务II,环保工程及服务II,环保工程及服务II,环保工程及服务II,环保工程及服务II,环保工程及服务II,环保工程及服务II,环保工程及服务II,环保工程及服务II,环保工程及服务II,环保工程及服务II,环保工程及服务II
000006,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,煤炭开采II,煤炭开采II,煤炭开采II,煤炭开采II,煤炭开采II,煤炭开采II,煤炭开采II,煤炭开采II,煤炭开采II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II
000007,餐饮II,餐饮II,餐饮II,餐饮II,餐饮II,餐饮II,餐饮II,餐饮II,餐饮II,餐饮II,餐饮II,餐饮II,餐饮II,餐饮II,餐饮II,餐饮II,餐饮II,餐饮II,餐饮II,餐饮II,餐饮II,餐饮II,餐饮II,餐饮II,餐饮II,餐饮II,餐饮II,餐饮II,餐饮II,餐饮II,餐饮II,综合II,综合II,综合II,综合II,综合II,综合II,综合II,综合II,综合II,综合II,综合II,综合II,综合II,综合II,综合II,综合II,综合II,综合II,综合II,综合II,综合II,综合II,综合II,综合II,商业物业经营II,商业物业经营II,商业物业经营II,商业物业经营II,商业物业经营II,商业物业经营II,商业物业经营II,商业物业经营II,商业物业经营II,商业物业经营II,商业物业经营II,商业物业经营II,商业物业经营II
000008,酒店II,酒店II,酒店II,酒店II,酒店II,酒店II,运输设备II,运输设备II,运输设备II,运输设备II,运输设备II,运输设备II,运输设备II,运输设备II,运输设备II,运输设备II,运输设备II,运输设备II,运输设备II,运输设备II,运输设备II,运输设备II,稀有金属II,稀有金属II,稀有金属II,稀有金属II,稀有金属II,稀有金属II,稀有金属II,稀有金属II,稀有金属II,运输设备II,运输设备II,运输设备II,运输设备II,运输设备II,运输设备II,运输设备II,运输设备II,运输设备II,运输设备II,运输设备II,运输设备II,运输设备II,运输设备II,运输设备II,运输设备II,运输设备II,运输设备II,运输设备II,运输设备II,运输设备II,运输设备II,运输设备II,运输设备II,运输设备II,运输设备II,运输设备II,运输设备II,运输设备II,运输设备II,运输设备II,运输设备II,运输设备II,运输设备II,运输设备II,运输设备II,运输设备II
000009,综合II,综合II,综合II,综合II,综合II,综合II,综合II,综合II,综合II,综合II,综合II,综合II,综合II,综合II,综合II,综合II,综合II,综合II,综合II,综合II,综合II,综合II,综合II,综合II,综合II,综合II,综合II,综合II,综合II,综合II,综合II,综合II,综合II,综合II,综合II,综合II,综合II,综合II,综合II,综合II,综合II,综合II,综合II,综合II,综合II,综合II,综合II,综合II,综合II,综合II,综合II,综合II,综合II,综合II,综合II,综合II,综合II,综合II,综合II,综合II,综合II,综合II,综合II,综合II,综合II,综合II,综合II,综合II
000010,综合II,综合II,综合II,综合II,综合II,综合II,园林工程II,园林工程II,园林工程II,园林工程II,园林工程II,园林工程II,园林工程II,园林工程II,园林工程II,园林工程II,园林工程II,园林工程II,园林工程II,园林工程II,园林工程II,园林工程II,园林工程II,园林工程II,园林工程II,园林工程II,园林工程II,园林工程II,园林工程II,园林工程II,园林工程II,园林工程II,园林工程II,园林工程II,园林工程II,园林工程II,园林工程II,园林工程II,园林工程II,园林工程II,园林工程II,园林工程II,园林工程II,园林工程II,园林工程II,园林工程II,园林工程II,园林工程II,园林工程II,园林工程II,园林工程II,园林工程II,园林工程II,园林工程II,园林工程II,园林工程II,园林工程II,园林工程II,园林工程II,园林工程II,园林工程II,园林工程II,园林工程II,园林工程II,园林工程II,园林工程II,园林工程II,园林工程II
000011,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II
000012,玻璃制造II,玻璃制造II,玻璃制造II,玻璃制造II,玻璃制造II,玻璃制造II,玻璃制造II,玻璃制造II,玻璃制造II,玻璃制造II,玻璃制造II,玻璃制造II,玻璃制造II,玻璃制造II,玻璃制造II,玻璃制造II,玻璃制造II,玻璃制造II,玻璃制造II,玻璃制造II,玻璃制造II,玻璃制造II,玻璃制造II,玻璃制造II,玻璃制造II,玻璃制造II,玻璃制造II,玻璃制造II,玻璃制造II,玻璃制造II,玻璃制造II,玻璃制造II,玻璃制造II,玻璃制造II,玻璃制造II,玻璃制造II,玻璃制造II,玻璃制造II,玻璃制造II,玻璃制造II,玻璃制造II,玻璃制造II,玻璃制造II,玻璃制造II,玻璃制造II,玻璃制造II,玻璃制造II,玻璃制造II,玻璃制造II,玻璃制造II,玻璃制造II,玻璃制造II,玻璃制造II,玻璃制造II,玻璃制造II,玻璃制造II,玻璃制造II,玻璃制造II,玻璃制造II,玻璃制造II,玻璃制造II,玻璃制造II,玻璃制造II,玻璃制造II,玻璃制造II,玻璃制造II,玻璃制造II,玻璃制造II
000014,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II,房地产开发II
000016,视听器材II,视听器材II,视听器材II,视听器材II,视听器材II,视听器材II,视听器材II,视听器材II,视听器材II,视听器材II,视听器材II,视听器材II,视听器材II,视听器材II,视听器材II,视听器材II,视听器材II,视听器材II,视听器材II,视听器材II,视听器材II,视听器材II,视听器材II,视听器材II,视听器材II,视听器材II,视听器材II,视听器材II,视听器材II,视听器材II,视听器材II,视听器材II,视听器材II,视听器材II,视听器材II,视听器材II,视听器材II,视听器材II,视听器材II,视听器材II,视听器材II,视听器材II,视听器材II,视听器材II,视听器材II,视听器材II,视听器材II,视听器材II,视听器材II,视听器材II,视听器材II,视听器材II,视听器材II,视听器材II,视听器材II,视听器材II,视听器材II,视听器材II,视听器材II,视听器材II,视听器材II,视听器材II,视听器材II,视听器材II,视听器材II,视听器材II,视听器材II,视听器材II
000017,其他交运设备II,其他交运设备II,其他交运设备II,其他交运设备II,其他交运设备II,其他交运设备II,其他交运设备II,其他交运设备II,其他交运设备II,其他交运设备II,其他交运设备II,其他交运设备II,其他交运设备II,其他交运设备II,其他交运设备II,其他交运设备II,其他交运设备II,其他交运设备II,其他交运设备II,其他交运设备II,其他交运设备II,其他交运设备II,其他交运设备II,其他交运设备II,其他交运设备II,其他交运设备II,其他交运设备II,其他交运设备II,其他交运设备II,其他交运设备II,其他交运设备II,其他交运设备II,其他交运设备II,其他交运设备II,其他交运设备II,其他交运设备II,其他交运设备II,其他交运设备II,其他交运设备II,其他交运设备II,其他交运设备II,其他交运设备II,其他交运设备II,其他交运设备II,其他交运设备II,其他交运设备II,其他交运设备II,其他交运设备II,其他交运设备II,其他交运设备II,其他交运设备II,其他交运设备II,其他交运设备II,其他交运设备II,其他交运设备II,其他交运设备II,其他交运设备II,其他交运设备II,其他交运设备II,其他交运设备II,其他交运设备II,其他交运设备II,其他交运设备II,其他交运设备II,其他交运设备II,其他交运设备II,其他交运设备II,其他交运设备II
